Year,MAX,Q95,Q90,Q70,Median,Q05,MIN,Nlow,Npots
1970,7.9,0.03915,0.051,0.1495,0.068,1.3279999999999985,0.028,4,NA
1971,12.7,0.054,0.054,0.202,0.105,2.0160000000000027,0.048,5,3
1972,6.68,0.053,0.054,0.2165,0.098,2.2775,0.045,5,NA
1973,2.56,0.042,0.053,0.177,0.0862,0.6648000000000003,0.032,5,NA
1974,12.6,0.056,0.0658,0.311,0.1502,3.3640000000000003,0.036,7,5
1975,12.4,0.036,0.047799999999999995,0.229,0.093,2.1260000000000003,0.033,4,4
1976,10.5,0.010249999999999999,0.019,0.14,0.059,1.9825000000000002,0.004,9,2
1977,7.7,0.057,0.068,0.248,0.1052,2.5740000000000003,0.04,1,1
1978,4.48,0.05,0.056,0.164,0.07819999999999999,2.1800000000000006,0.039,1,1
1979,12.5,0.055,0.06,0.353,0.14000000000000004,2.266,0.04,4,3
1980,5.77,0.0725,0.081,0.28049999999999997,0.141,2.075,0.045,5,NA
1981,6.09,0.0642,0.074,0.393,0.224,2.2760000000000007,0.017,3,4
1982,13.1,0.054,0.061,0.332,0.11940000000000002,2.7040000000000006,0.042,1,3
1983,5.39,0.060399999999999995,0.069,0.323,0.117,1.7940000000000005,0.047,NA,2
1984,7.47,0.04625,0.05,0.237,0.1065,2.55,0.03,9,2
1985,10.2,0.06820000000000001,0.0784,0.233,0.13520000000000001,1.9340000000000002,0.051,1,2
1986,10.8,0.054,0.06,0.295,0.1132,2.4760000000000013,0.025,5,2
1987,7.78,0.072,0.08579999999999999,0.272,0.1698,2.2360000000000024,0.039,4,5
1988,8,0.085,0.09,0.1635,0.122,2.4725,0.072,1,NA
1989,9.69,0.031,0.037,0.112,0.06520000000000001,2.018000000000001,0.023,9,1
1990,13,0.045,0.048,0.106,0.076,2.26,0.024,7,1
1991,6.19,0.045,0.05740000000000001,0.161,0.09540000000000001,1.4120000000000008,0.008,10,1
1992,17.3,0.039,0.0505,0.191,0.1045,1.9725,0.01,11,1
1993,11.9,0.048,0.060399999999999995,0.199,0.1312,2.5920000000000005,0.039,6,3
1994,17.8,0.0642,0.07719999999999999,0.363,0.141,3.3460000000000005,0.034,1,2
1995,7.73,0.039,0.059,0.15,0.088,3.2279999999999998,0.022,NA,NA
1996,9.5,0.01725,0.022,0.1495,0.042,1.4975,0.013,9,NA
1997,5.41,0.0532,0.059,0.115,0.083,1.8000000000000012,0.043,9,NA
1998,7.3,0.077,0.0814,0.258,0.1486,2.6872000000000025,0.046,4,1
1999,19.4,0.047200000000000006,0.058,0.221,0.1202,2.3100000000000023,0.036,3,3
2000,18.6,0.063,0.07,0.426,0.2165,4.942500000000001,0.045,3,10
2001,10.2,0.081,0.089,0.386,0.20539999999999997,3.546000000000002,0.06,NA,2
2002,10.7,0.079,0.086,0.325,0.16920000000000002,3.3580000000000005,0.069,1,5
2003,9.94,0.065,0.068,0.155,0.096,1.7960000000000003,0.055,1,2
2004,7.32,0.07725,0.083,0.238,0.1265,1.9974999999999998,0.066,2,1
2005,7.11,0.056,0.062,0.166,0.088,0.8694000000000008,0.042,6,NA
2006,7.68,0.0732,0.081,0.235,0.12860000000000002,2.9840000000000035,0.049,5,1
2007,7.94,0.065,0.0774,0.231,0.11420000000000001,3.026,0.042,2,4
2008,19.2,0.074,0.082,0.311,0.1535,2.39,0.049,5,6
2009,9.14,0.062,0.072,0.17,0.107,3.0160000000000005,0.044,2,2
2010,11.1,0.0452,0.05339999999999999,0.179,0.09160000000000001,2.484000000000003,0.024,7,2
2011,7.8,0.0452,0.052399999999999995,0.15,0.092,1.5960000000000014,0.023,7,NA
2012,17.6,0.06525,0.0805,0.297,0.173,3.545,0.054,6,5
2013,18.6,0.073,0.081,0.228,0.1232,3.354,0.046,NA,1
2014,12.7,0.09440000000000001,0.102,0.416,0.1724,4.134000000000001,0.083,1,6
2015,9.59,0.057,0.07,0.188,0.11960000000000001,1.7460000000000009,0.03,3,NA
2016,8.4,0.051,0.06,0.1515,0.107,2.335,0.034,2,NA
2017,3.862,0.042,0.0504,0.151,0.0832,1.731400000000001,0.024,9,NA
2018,5.223,0.043399999999999994,0.0684,0.274,0.107,2.6910000000000003,0.025,2,NA
2019,10.27,0.072,0.0784,0.245,0.117,2.6113999999999997,0.05,3,2
2020,22.71,0.06465,0.07629999999999999,0.145,0.1,2.705799999999992,0.052,NA,2
